code,name,branch_code,region_code,address,lat,lng,priority,avg_service_time_min,payment_type
C1001,Star Grocery Ghubra,,GHBR,"Ghubra, Muscat, Oman",23.59327,58.421882,3,5,credit
C1002,Golden Grocery Al Amerat,,ALAM,"Al Amerat, Muscat, Oman",23.531103,58.487629,3,7,cash
C1003,Elite Building Project,,QURM,"Qurum, Muscat, Oman",23.626094,58.457419,4,13,credit
C1004,Lulu Hypermarket Madinat Sultan Qaboos,,MSQ,"Madinat Sultan Qaboos, Muscat, Oman",23.578617,58.453241,1,28,credit
C1005,Crown Cafe Azaiba,,AZBA,"Azaiba, Muscat, Oman",23.60307,58.396068,3,10,credit
C1006,Family Market Ruwi,,RUWI,"Ruwi, Muscat, Oman",23.587296,58.55118,3,8,cash
C1007,Sultan Industries,,QURM,"Qurum, Muscat, Oman",23.607976,58.464895,5,12,credit
C1008,Hotel Anwar Al Khuwair,,KHWR,"Al Khuwair, Muscat, Oman",23.6016,58.451827,3,18,prepaid
C1009,Salam Mini Market,B01,MABL,"Mabela, Muscat, Oman",23.661844,58.22031,2,7,cash
C1010,Star Hotel Madinat Sultan Qaboos,,MSQ,"Madinat Sultan Qaboos, Muscat, Oman",23.6037,58.453792,2,17,credit
C1011,Anwar Suites,,ALAM,"Al Amerat, Muscat, Oman",23.548122,58.499406,4,19,credit
C1012,Salam Suites,,MABL,"Mabela, Muscat, Oman",23.665679,58.234693,3,23,credit
C1013,Lulu Hypermarket Ghala,,GHLA,"Ghala, Muscat, Oman",23.567977,58.376917,2,21,credit
C1014,Indian School Seeb,,SEEB,"Seeb, Muscat, Oman",23.678403,58.19707,1,18,credit
C1015,Grand Hotel Al Khuwair,,KHWR,"Al Khuwair, Muscat, Oman",23.581674,58.466012,3,21,prepaid
C1016,Fahad Mini Market,,WADI,"Wadi Adai, Muscat, Oman",23.555252,58.581009,3,10,cash
C1017,Hotel Khaleej Al Khuwair,,KHWR,"Al Khuwair, Muscat, Oman",23.599629,58.448079,3,18,credit
C1018,Hotel Jabal Seeb,,SEEB,"Seeb, Muscat, Oman",23.679577,58.190846,1,24,credit
C1019,Health Center Mabela,,MABL,"Mabela, Muscat, Oman",23.679585,58.239428,2,12,credit
C1020,Hotel Salam Al Khuwair,,KHWR,"Al Khuwair, Muscat, Oman",23.587441,58.453738,2,16,credit
C1021,Burj Construction Site,,KHWR,"Al Khuwair, Muscat, Oman",23.580049,58.44901,4,12,credit
C1022,British School Ghala,,GHLA,"Ghala, Muscat, Oman",23.575254,58.384614,5,17,credit
C1023,Al Mouj Shati Phase 2,,GHBR,"Ghubra, Muscat, Oman",23.607177,58.410412,2,12,cash
C1024,Royal Hotel Qurum,,QURM,"Qurum, Muscat, Oman",23.620821,58.457281,3,15,prepaid
C1025,Star Industries,,SEEB,"Seeb, Muscat, Oman",23.673669,58.199043,4,16,credit
C1026,Lulu Hypermarket Ruwi,,RUWI,"Ruwi, Muscat, Oman",23.595618,58.549224,2,25,credit
C1027,Pearl Building Project,,KHWR,"Al Khuwair, Muscat, Oman",23.587565,58.473636,4,10,credit
C1028,Burj Mini Market,,WADI,"Wadi Adai, Muscat, Oman",23.563111,58.585437,4,10,cash
C1029,Premium Industries,,KHWR,"Al Khuwair, Muscat, Oman",23.583819,58.473472,2,17,credit
C1030,Nakheel Construction Site,,HAIL,"Al Hail, Muscat, Oman",23.619079,58.329085,3,13,prepaid
C1031,Sahara Construction Site,,RUWI,"Ruwi, Muscat, Oman",23.601186,58.553078,3,11,credit
C1032,Bustan Mini Market,,RUWI,"Ruwi, Muscat, Oman",23.585454,58.568773,3,7,cash
C1033,Health Center Azaiba,,AZBA,"Azaiba, Muscat, Oman",,,3,12,credit
C1034,Hotel Bustan Ruwi,,RUWI,"Ruwi, Muscat, Oman",23.587975,58.551517,1,24,credit
C1035,Daily Needs Ghala,,GHLA,"Ghala, Muscat, Oman",23.575988,58.387568,4,6,cash
C1036,Quick Stop Ghala,,GHLA,"Ghala, Muscat, Oman",23.57274,58.384627,4,5,credit
C1037,British School Azaiba,,AZBA,"Azaiba, Muscat, Oman",23.619932,58.388007,5,17,credit
C1038,British School Ghubra,,GHBR,"Ghubra, Muscat, Oman",23.594833,58.421417,4,16,prepaid
C1039,Hotel Jabal Al Khuwair,,KHWR,"Al Khuwair, Muscat, Oman",23.594301,58.449021,2,17,credit
C1040,Wadi Suites,,GHLA,"Ghala, Muscat, Oman",23.589546,58.373564,3,18,prepaid
C1041,Mansour Construction Site,,RUWI,"Ruwi, Muscat, Oman",23.577602,58.548786,3,13,credit
C1042,Marwa School Al Khuwair,,KHWR,"Al Khuwair, Muscat, Oman",23.596449,58.456232,3,16,credit
C1043,Hotel Marwa Al Khuwair,,KHWR,"Al Khuwair, Muscat, Oman",,,2,23,credit
C1044,Qurum Site Camp,,QURM,"Qurum, Muscat, Oman",23.612371,58.457755,3,13,prepaid
C1045,Lulu Hypermarket Ghubra,,GHBR,"Ghubra, Muscat, Oman",23.603356,58.409696,2,26,credit
C1046,Jabal School Ruwi,,RUWI,"Ruwi, Muscat, Oman",23.593923,58.557587,5,23,credit
C1047,Pearl Restaurant Ruwi,,RUWI,"Ruwi, Muscat, Oman",23.579399,58.568853,3,8,cash
C1048,Golden Grocery Qurum,,QURM,"Qurum, Muscat, Oman",23.609475,58.465283,3,6,cash
C1049,Daily Needs Ghubra,,GHBR,"Ghubra, Muscat, Oman",23.608659,58.423796,3,5,cash
C1050,Bahr Mini Market,,QURM,"Qurum, Muscat, Oman",23.619284,58.482454,4,10,cash
C1051,Nakheel Trading Co,,WADI,"Wadi Adai, Muscat, Oman",23.552413,58.571666,5,12,credit
C1052,City Cafe Qurum,,QURM,"Qurum, Muscat, Oman",23.614432,58.457355,4,12,cash
C1053,Al Mouj Nakheel Phase 2,,SEEB,"Seeb, Muscat, Oman",23.676112,58.176814,5,13,credit
C1054,Golden Hotel Ansab,,ANSB,"Ansab, Muscat, Oman",23.553577,58.500472,3,19,prepaid
C1055,Turkish Sahara Cafe,,RUWI,"Ruwi, Muscat, Oman",23.582882,58.566257,3,14,credit
C1056,Lulu Hypermarket Al Khuwair,,KHWR,"Al Khuwair, Muscat, Oman",23.601253,58.465942,3,23,prepaid
C1057,Sultan Center Ghubra,,GHBR,"Ghubra, Muscat, Oman",23.607147,58.430419,2,29,prepaid
C1058,Turkish Anwar Cafe,,SEEB,"Seeb, Muscat, Oman",23.695032,58.204684,3,8,credit
C1059,Indian School Mabela,,MABL,"Mabela, Muscat, Oman",23.666985,58.2163,3,15,credit
C1060,Family Market Ansab,B01,ANSB,"Ansab, Muscat, Oman",23.571208,58.489158,4,7,cash
C1061,Al Nakheel Group,,ALAM,"Al Amerat, Muscat, Oman",23.551274,58.487501,3,16,credit
C1062,Indian School Ruwi,,RUWI,"Ruwi, Muscat, Oman",23.596256,58.560943,3,17,credit
C1063,Sahara Grill,,MSQ,"Madinat Sultan Qaboos, Muscat, Oman",23.575845,58.4343,2,11,cash
C1064,Mansour Trading Co,,BOSH,"Bousher, Muscat, Oman",23.586869,58.458749,3,12,credit
