customer_code,branch_code,delivery_date,product_code,cases,priority,notes,payment_collection_amount
C1141,,2026-05-15,WTR-19L-GAL,3,3,,0
C1141,,2026-05-15,WTR-5L-4,1,3,,0
C1008,,2026-05-15,WTR-5L-4,7,3,,0
C1008,,2026-05-15,WTR-19L-GAL,7,3,,0
C1093,,2026-05-15,WTR-200ML-24,9,3,,0
C1149,,2026-05-15,WTR-500ML-24,32,1,,0
C1066,,2026-05-15,WTR-500ML-24,25,3,,0
C1115,,2026-05-15,WTR-5L-4,6,3,,0
C1115,,2026-05-15,WTR-500ML-24,3,3,,0
C1002,,2026-05-15,WTR-19L-GAL,5,3,,7.23
C1059,,2026-05-15,WTR-1.5L-6,10,3,,0
C1059,,2026-05-15,WTR-5L-4,14,3,,0
C1062,,2026-05-15,WTR-200ML-24,9,3,,0
C1062,,2026-05-15,WTR-19L-GAL,10,3,,0
C1107,,2026-05-15,WTR-200ML-24,26,3,,0
C1126,,2026-05-15,WTR-200ML-24,12,3,,0
C1051,,2026-05-15,WTR-19L-GAL,4,5,,0
C1051,,2026-05-15,WTR-200ML-24,1,5,,0
C1012,,2026-05-15,WTR-5L-4,13,3,,0
C1044,,2026-05-15,WTR-5L-4,9,3,,0
C1044,,2026-05-15,WTR-500ML-24,17,3,,0
C1148,,2026-05-15,WTR-500ML-24,16,2,,0
C1148,,2026-05-15,WTR-200ML-24,9,2,,0
C1047,,2026-05-15,WTR-200ML-24,12,3,,0
C1078,,2026-05-15,WTR-19L-GAL,2,3,,0
C1078,,2026-05-15,WTR-500ML-24,6,3,,0
C1084,B02,2026-05-15,WTR-5L-4,35,2,,0
C1084,B02,2026-05-15,WTR-200ML-24,24,2,,0
C1120,,2026-05-15,WTR-500ML-24,5,2,,0
C1082,,2026-05-15,WTR-1.5L-6,5,3,,0
C1082,,2026-05-15,WTR-500ML-24,2,3,,0
C1118,,2026-05-15,WTR-5L-4,21,3,,0
C1055,,2026-05-15,WTR-5L-4,6,3,,0
C1055,,2026-05-15,WTR-500ML-24,5,3,,0
C1110,,2026-05-15,WTR-200ML-24,3,5,,0
C1110,,2026-05-15,WTR-5L-4,1,5,,0
C1110,,2026-05-15,WTR-500ML-24,1,5,,0
C1077,,2026-05-15,WTR-200ML-24,2,2,,0
C1077,,2026-05-15,WTR-1.5L-6,4,2,,0
C1041,,2026-05-15,WTR-1.5L-6,43,3,,0
C1042,,2026-05-15,WTR-500ML-24,17,3,,0
C1042,,2026-05-15,WTR-19L-GAL,7,3,,0
C1145,,2026-05-15,WTR-500ML-24,5,4,,0
C1145,,2026-05-15,WTR-200ML-24,4,4,,0
C1105,,2026-05-15,WTR-200ML-24,6,2,,0
C1003,,2026-05-15,WTR-1.5L-6,19,4,,0
C1003,,2026-05-15,WTR-500ML-24,16,4,,0
C1052,,2026-05-15,WTR-19L-GAL,11,4,,11.26
C1004,,2026-05-15,WTR-19L-GAL,35,1,,0
C1112,,2026-05-15,WTR-500ML-24,12,3,,0
C1079,,2026-05-15,WTR-19L-GAL,7,3,,0
C1079,,2026-05-15,WTR-5L-4,2,3,,0
C1005,,2026-05-15,WTR-5L-4,8,3,,0
C1135,,2026-05-15,WTR-19L-GAL,9,3,,9.59
C1022,,2026-05-15,WTR-19L-GAL,4,5,,0
C1022,,2026-05-15,WTR-5L-4,9,5,,0
C1094,,2026-05-15,WTR-19L-GAL,39,1,,0
C1094,,2026-05-15,WTR-1.5L-6,21,1,,0
C1095,,2026-05-15,WTR-19L-GAL,10,2,,0
C1095,,2026-05-15,WTR-200ML-24,7,2,,0
C1050,,2026-05-15,WTR-19L-GAL,1,4,,0
C1050,,2026-05-15,WTR-500ML-24,1,4,,0
C1103,,2026-05-15,WTR-1.5L-6,6,2,,0
C1021,,2026-05-15,WTR-500ML-24,17,4,,0
C1021,,2026-05-15,WTR-1.5L-6,12,4,,0
C1111,,2026-05-15,WTR-19L-GAL,9,2,,0
C1013,,2026-05-15,WTR-19L-GAL,14,2,,0
C1013,,2026-05-15,WTR-5L-4,28,2,,0
C1123,,2026-05-15,WTR-500ML-24,16,2,,0
C1123,,2026-05-15,WTR-19L-GAL,8,2,,0
C1014,,2026-05-15,WTR-19L-GAL,14,1,,0
C1014,,2026-05-15,WTR-1.5L-6,18,1,,0
C1087,,2026-05-15,WTR-19L-GAL,26,3,,0
C1080,,2026-05-15,WTR-500ML-24,7,3,,0
C1080,,2026-05-15,WTR-5L-4,15,3,,0
C1039,,2026-05-15,WTR-19L-GAL,20,2,,0
C1069,,2026-05-15,WTR-19L-GAL,13,3,,0
C1121,,2026-05-15,WTR-5L-4,14,2,,0
C1121,,2026-05-15,WTR-19L-GAL,18,2,,0
C1057,,2026-05-15,WTR-200ML-24,69,2,,0
C1035,,2026-05-15,WTR-200ML-24,1,4,,0
C1035,,2026-05-15,WTR-500ML-24,2,4,,0
C1035,,2026-05-15,WTR-5L-4,1,4,,1.52
C1040,,2026-05-15,WTR-19L-GAL,5,3,,0
C1040,,2026-05-15,WTR-500ML-24,6,3,,0
C1040,,2026-05-15,WTR-200ML-24,5,3,,0
C1122,,2026-05-15,WTR-1.5L-6,40,1,,0
C1132,,2026-05-15,WTR-500ML-24,17,3,,0
C1132,,2026-05-15,WTR-19L-GAL,11,3,,0
C1011,,2026-05-15,WTR-1.5L-6,6,4,,0
C1011,,2026-05-15,WTR-500ML-24,5,4,,0
C1150,,2026-05-15,WTR-500ML-24,39,4,,0
C1088,,2026-05-15,WTR-200ML-24,16,2,,0
C1033,,2026-05-15,WTR-19L-GAL,3,3,,0
C1033,,2026-05-15,WTR-5L-4,4,3,,0
C1113,,2026-05-15,WTR-5L-4,8,2,,0
C1113,,2026-05-15,WTR-500ML-24,16,2,,0
C1053,,2026-05-15,WTR-200ML-24,35,5,,0
C1081,,2026-05-15,WTR-500ML-24,72,2,,0
C1061,,2026-05-15,WTR-1.5L-6,6,3,,0
C1100,,2026-05-15,WTR-1.5L-6,28,4,,34.15
C1029,,2026-05-15,WTR-500ML-24,9,2,,0
C1060,B01,2026-05-15,WTR-500ML-24,4,4,,0
C1139,,2026-05-15,WTR-19L-GAL,5,3,,0
C1139,,2026-05-15,WTR-1.5L-6,4,3,,0
C1147,,2026-05-15,WTR-500ML-24,3,2,,3.32
C1128,,2026-05-15,WTR-19L-GAL,9,3,,0
C1128,,2026-05-15,WTR-5L-4,21,3,,0
C1131,,2026-05-15,WTR-5L-4,6,3,,0
C1131,,2026-05-15,WTR-1.5L-6,6,3,,7.89
C1018,,2026-05-15,WTR-1.5L-6,20,1,,0
C1018,,2026-05-15,WTR-500ML-24,12,1,,0
C1019,,2026-05-15,WTR-19L-GAL,4,2,,0
C1133,,2026-05-15,WTR-19L-GAL,11,3,,0
C1133,,2026-05-15,WTR-200ML-24,24,3,,0
C1048,,2026-05-15,WTR-200ML-24,8,3,,10.52
